altitude_km,elevation_deg,TBS_bits,payload_type,RTT_ms,path_loss_dB,SNR_dB,n_repetitions,N_TBPHC,TB_index,direction,use_bundling,n_bundle,n_DD2A,n_UG2D,SUF_fixed,SUF_variable,throughput_fixed_bps,throughput_variable_bps,throughput_gain_percent,N_HARQ_required
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,3,uplink,0,1,3,3,0.166666667,0.333333333,24000,48000,100,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,1,downlink,0,1,3,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,2,downlink,0,1,3,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,3,downlink,0,1,3,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,1,downlink,1,2,3,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,2,downlink,1,2,2,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,3,downlink,1,2,2,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,1,downlink,1,4,3,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,2,downlink,1,4,2,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,3,3,downlink,1,4,1,3,0.125,0.272727273,18000,39272.72727,118.1818182,9
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,1,uplink,0,1,4,4,0.166666667,0.4,24000,57600,140,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,2,uplink,0,1,4,4,0.166666667,0.4,24000,57600,140,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,3,uplink,0,1,4,4,0.166666667,0.4,24000,57600,140,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,4,uplink,0,1,4,4,0.166666667,0.4,24000,57600,140,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,1,downlink,0,1,4,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,2,downlink,0,1,4,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,3,downlink,0,1,4,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,4,downlink,0,1,4,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,1,downlink,1,2,4,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,2,downlink,1,2,3,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,3,downlink,1,2,3,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,4,downlink,1,2,2,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,1,downlink,1,4,4,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,2,downlink,1,4,3,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,3,downlink,1,4,2,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,4,4,downlink,1,4,1,4,0.125,0.333333333,18000,48000,166.6666667,11
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,1,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,2,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,3,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,4,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,5,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,15
600,10,144,regenerative,13.87756906,104.1891028,30.06540126,1,6,6,uplink,0,1,6,6,0.166666667,0.428571429,24000,61714.28571,157.1428571,15
